gene	cluster	silhouette	mean_log2_expression	log2_range	correlation_to_centroid	z_S1	z_S2	z_S3	z_S4	z_S5	z_S6	z_S7	z_S8	z_S9	log2_S1	log2_S2	log2_S3	log2_S4	log2_S5	log2_S6	log2_S7	log2_S8	log2_S9
G50	3	0.5076	12.7568	1.5781	0.9456	1.4391	1.1749	1.2849	-1.4125	-0.6222	-0.3780	0.1409	-0.6939	-0.9333	13.5532	13.4070	13.4679	11.9751	12.4125	12.5476	12.8348	12.3728	12.2403
G51	3	0.5307	13.2877	0.6813	0.9386	1.7445	0.9813	1.0213	-0.8783	-0.4468	-0.3456	-0.2944	-0.1210	-1.6610	13.6367	13.4840	13.4920	13.1120	13.1983	13.2186	13.2288	13.2635	12.9554
G52	3	0.3313	12.8304	1.0951	0.8365	1.4135	1.0133	0.8591	-2.0241	-0.4979	0.0309	0.2006	-0.0761	-0.9194	13.2807	13.1532	13.1041	12.1856	12.6718	12.8402	12.8943	12.8061	12.5375
G53	3	0.5748	11.2550	1.1228	0.9707	1.5887	1.4263	1.1499	-0.6366	-0.9336	-0.5529	-0.5453	-0.9928	-0.5037	11.9460	11.8753	11.7551	10.9781	10.8489	11.0145	11.0178	10.8231	11.0359
G54	3	0.5739	14.2614	1.5504	0.9783	1.4772	1.3869	1.3041	-0.7377	-1.0107	-0.8430	-0.4479	-0.3647	-0.7642	15.1819	15.1257	15.0741	13.8017	13.6315	13.7360	13.9823	14.0341	13.7851
G55	2	0.1720	13.0493	0.9753	0.8066	0.7996	0.0731	-0.2321	-2.5516	-0.1122	0.8159	0.6022	0.8348	-0.2297	13.2796	13.0703	12.9824	12.3144	13.0170	13.2843	13.2227	13.2897	12.9831
G56	3	0.5039	12.5863	0.5628	0.9011	1.9450	0.9502	0.6401	-0.7208	-0.2910	0.0205	-0.6046	-0.2439	-1.6955	12.8870	12.7332	12.6853	12.4749	12.5413	12.5895	12.4928	12.5486	12.3242
G57	3	0.4841	10.9969	0.4864	0.9248	1.3751	1.0570	1.5164	-0.7892	-1.2411	-0.9693	0.1224	-0.5120	-0.5593	11.2394	11.1833	11.2644	10.8577	10.7780	10.8260	11.0185	10.9066	10.8983
G58	2	0.0335	12.5903	0.5362	0.8394	1.2749	0.5152	0.0867	-2.3287	-0.1883	0.0402	1.2071	-0.2909	-0.3162	12.7800	12.6670	12.6032	12.2438	12.5623	12.5963	12.7699	12.5470	12.5433
G59	3	0.5570	13.3965	0.6189	0.9559	1.7666	1.1425	0.9695	-0.6246	-0.8125	-0.2304	-0.0890	-0.6932	-1.4290	13.7387	13.6178	13.5843	13.2755	13.2391	13.3519	13.3793	13.2622	13.1197
G60	3	0.4819	15.1684	0.7022	0.9348	1.9455	1.1568	0.6805	-1.2356	-1.0507	-0.3520	-0.2871	-0.1050	-0.7522	15.5978	15.4237	15.3186	14.8957	14.9365	15.0907	15.1050	15.1452	15.0024
G61	0	0.4707	12.2400	0.7485	0.8866	-1.0758	-1.3332	-1.2953	-0.1877	0.1820	0.2364	1.5487	0.8839	1.0410	11.9605	11.8937	11.9035	12.1912	12.2872	12.3014	12.6422	12.4695	12.5104
G62	3	0.2033	8.1322	0.6636	0.6462	0.5328	1.6526	0.6453	-0.8428	-1.2917	-0.9505	-0.7953	1.2674	-0.2179	8.2523	8.5046	8.2776	7.9423	7.8411	7.9180	7.9530	8.4178	8.0831
G63	2	-0.0534	11.5666	1.6146	0.7721	1.1481	0.6775	0.3006	-2.5322	-0.1593	0.6935	0.2877	-0.0577	-0.3581	12.0703	11.8638	11.6985	10.4557	11.4967	11.8708	11.6928	11.5413	11.4095
G64	2	-0.0421	8.5785	0.4806	0.6870	0.8516	1.2630	0.0088	-1.4831	-1.5772	0.4599	0.5518	-0.8958	0.8209	8.7226	8.7922	8.5800	8.3275	8.3116	8.6563	8.6719	8.4269	8.7174
G65	3	0.5403	16.6410	1.3194	0.9280	1.2545	1.1515	1.5305	-0.2469	-0.1833	-0.2882	-0.8171	-1.0775	-1.3234	17.2210	17.1733	17.3485	16.5268	16.5562	16.5077	16.2632	16.1428	16.0291
G66	3	0.5245	12.3859	0.7699	0.9571	1.6164	1.2376	1.0322	-1.3623	-0.7564	-0.3339	-0.2829	-0.0712	-1.0796	12.8037	12.7058	12.6527	12.0338	12.1904	12.2996	12.3128	12.3675	12.1068
G67	3	0.4311	12.3195	0.4546	0.9009	1.9006	0.9644	0.7064	-1.3565	-1.0298	-0.1493	0.2431	-0.3573	-0.9215	12.5848	12.4541	12.4181	12.1302	12.1758	12.2987	12.3535	12.2697	12.1909
G68	3	0.4327	12.3463	1.1354	0.8990	1.5767	1.1294	0.8600	-1.7654	-0.5299	0.0311	-0.1101	-0.1612	-1.0307	12.8820	12.7300	12.6385	11.7466	12.1663	12.3569	12.3089	12.2916	11.9962
G69	3	0.5518	11.5738	0.3926	0.9668	1.2603	1.5876	1.2643	-1.0716	-0.7324	-0.7160	-0.6398	-0.1356	-0.8170	11.7598	11.8082	11.7604	11.4156	11.4656	11.4681	11.4793	11.5538	11.4531
G70	2	0.1089	13.6308	0.5851	0.8671	1.2316	0.5411	-0.3540	-2.3115	-0.5556	0.4321	1.0722	0.1665	-0.2225	13.8341	13.7201	13.5723	13.2491	13.5390	13.7021	13.8078	13.6583	13.5940
G71	3	0.2642	8.3868	1.4190	0.7106	1.0838	1.2946	0.4387	-2.0032	-0.2103	0.9404	-0.8982	-0.3321	-0.3137	8.8531	8.9439	8.5756	7.5248	8.2963	8.7915	8.0003	8.2439	8.2518
G72	2	-0.0367	13.9296	0.9786	0.8599	1.0557	0.5199	0.6516	-2.3066	-0.7713	0.2296	0.5146	0.7433	-0.6368	14.2369	14.0810	14.1193	13.2583	13.7052	13.9965	14.0794	14.1460	13.7443
G73	3	0.5578	10.7317	1.2764	0.9692	1.6645	1.0450	1.2094	-1.3063	-0.5549	-0.0748	-0.5190	-0.3356	-1.1282	11.4469	11.1807	11.2513	10.1705	10.4933	10.6996	10.5087	10.5875	10.2470
G74	3	0.4074	12.1592	0.4690	0.8639	1.0169	0.5908	1.9707	-1.5497	-0.2651	-0.6506	-0.1048	-0.1048	-0.9034	12.2947	12.2380	12.4218	11.9528	12.1239	12.0726	12.1453	12.1453	12.0389
G75	3	0.5087	14.5821	0.8063	0.9443	1.6710	1.1172	1.0105	-1.3283	-0.6597	-0.2703	0.0759	-0.3874	-1.2289	15.0313	14.8824	14.8537	14.2250	14.4047	14.5094	14.6025	14.4779	14.2517
G76	0	0.5945	18.2297	1.8567	0.9803	-1.5876	-1.1283	-1.3512	0.4196	0.7453	0.1466	1.0673	0.6659	1.0224	17.1195	17.4407	17.2847	18.5232	18.7510	18.3322	18.9761	18.6955	18.9448
G77	3	0.5990	14.1559	1.1504	0.9877	1.5150	1.4099	1.1736	-0.9620	-0.5815	-0.3219	-0.4256	-0.6228	-1.1847	14.8015	14.7567	14.6560	13.7460	13.9082	14.0188	13.9746	13.8906	13.6511
G78	2	0.0007	13.1071	0.2703	0.6787	1.5542	-0.3900	0.2518	-1.3246	-1.0269	0.0410	1.2081	0.8555	-1.1691	13.2531	13.0705	13.1308	12.9828	13.0107	13.1110	13.2206	13.1875	12.9974
G79	3	0.5635	12.4263	0.6885	0.9625	1.7171	1.2050	0.9841	-1.0869	-0.2491	-0.1606	-0.5946	-0.4824	-1.3325	12.8140	12.6984	12.6485	12.1810	12.3701	12.3901	12.2921	12.3174	12.1255
G80	2	0.1096	10.2642	0.4812	0.5517	0.3514	-0.3550	0.1888	-1.9816	-0.1546	1.3482	0.8514	0.9223	-1.1709	10.3149	10.2129	10.2914	9.9778	10.2418	10.4590	10.3872	10.3974	10.0950
G81	3	0.3696	13.0403	0.7963	0.8600	1.6469	0.9674	0.7625	-1.7776	-0.4842	-0.2153	0.3219	-0.1212	-1.1005	13.4233	13.2653	13.2176	12.6270	12.9278	12.9903	13.1152	13.0122	12.7845
G82	2	0.0233	12.3483	0.4571	0.8749	1.3695	0.6378	-0.0582	-2.2971	-0.6411	0.2675	0.6897	0.5053	-0.4735	12.5190	12.4278	12.3410	12.0619	12.2684	12.3816	12.4343	12.4113	12.2893
G83	3	0.5524	12.6440	0.7856	0.9594	1.5057	0.9260	1.4415	-1.1146	-0.5536	-0.1440	-0.2294	-0.4168	-1.4149	13.0490	12.8931	13.0317	12.3442	12.4951	12.6052	12.5823	12.5319	12.2634
G84	3	0.5535	14.7755	0.6956	0.9668	1.6662	1.2288	1.0315	-0.9368	-1.0769	-0.2064	-0.4169	-0.1131	-1.1763	15.1833	15.0762	15.0280	14.5463	14.5120	14.7250	14.6735	14.7479	14.4877
G85	3	0.6123	12.2336	2.0934	0.9934	1.4958	1.3066	1.4141	-0.7901	-0.5688	-0.6920	-0.5859	-0.6523	-0.9275	13.5258	13.3623	13.4552	11.5510	11.7422	11.6358	11.7275	11.6701	11.4323
G86	2	-0.0925	12.5061	0.3281	0.7608	1.6783	0.2478	0.4543	-1.5722	-0.9659	-0.3559	1.3504	-0.7427	-0.0942	12.6755	12.5311	12.5520	12.3474	12.4086	12.4702	12.6424	12.4312	12.4966
G87	2	-0.0913	7.2497	1.2470	0.8042	1.0264	1.5695	0.1375	-1.9268	-0.8256	-0.4080	0.2547	-0.5558	0.7280	7.6158	7.8095	7.2988	6.5625	6.9553	7.1042	7.3406	7.0515	7.5094
G88	3	0.2254	7.0034	2.1214	0.5150	0.5761	1.6646	0.1700	-0.7746	1.4206	-0.8281	-0.3861	-1.5205	-0.3219	7.3871	8.1121	7.1167	6.4875	7.9496	6.4519	6.7463	5.9907	6.7890
G89	3	0.6040	12.1409	0.7708	0.9884	1.5153	1.3445	1.2655	-0.9380	-0.5547	-0.2450	-0.5027	-0.8476	-1.0373	12.5985	12.5469	12.5231	11.8577	11.9734	12.0670	11.9891	11.8850	11.8277
G90	3	0.5314	13.8564	0.6415	0.9628	1.8861	1.0753	0.9441	-1.3197	-0.7777	-0.2991	-0.4355	-0.2259	-0.8476	14.2338	14.0716	14.0453	13.5924	13.7008	13.7966	13.7693	13.8112	13.6868
G91	3	0.5668	12.4206	0.4003	0.9463	1.5728	1.0478	1.2747	-0.2460	-0.4777	-0.1778	-0.6478	-0.7782	-1.5678	12.6210	12.5541	12.5830	12.3892	12.3597	12.3979	12.3380	12.3214	12.2207
G92	0	0.4953	7.5824	1.4745	0.8966	-0.8811	-1.8690	-1.2011	0.8894	0.0103	0.9914	0.5006	0.9334	0.6261	7.1282	6.6189	6.9632	8.0409	7.5877	8.0935	7.8405	8.0636	7.9052
G93	3	0.3799	10.4154	0.8870	0.8801	1.3867	1.3817	0.9710	-1.7231	-0.8039	-0.6890	-0.2012	-0.3074	-0.0147	10.8109	10.8095	10.6923	9.9239	10.1861	10.2188	10.3580	10.3277	10.4112
G94	2	0.1735	7.1749	0.9801	0.6155	0.0628	0.1111	-0.1765	-0.8015	-1.9398	-0.1055	-0.0781	1.8135	1.1141	7.1913	7.2039	7.1287	6.9655	6.6683	7.1473	7.1545	7.6484	7.4658
G95	2	-0.0636	12.3193	0.5341	0.7010	0.6693	0.4541	0.9323	-2.0705	-0.6124	0.5834	1.2975	-0.6758	-0.5779	12.4254	12.3913	12.4671	11.9909	12.2222	12.4118	12.5250	12.2121	12.2276
G96	3	0.2533	12.6240	1.0097	0.7607	1.4978	0.3916	0.9514	-2.0359	-0.5751	0.3611	0.0613	0.3356	-0.9877	13.0520	12.7359	12.8958	12.0423	12.4597	12.7272	12.6415	12.7199	12.3418
G97	2	0.2146	12.4694	0.6578	0.7692	-0.0668	-0.2812	-0.1618	-2.0926	-0.5702	0.7150	1.8308	0.5651	0.0619	12.4581	12.4222	12.4422	12.1185	12.3738	12.5892	12.7763	12.5641	12.4797
G98	3	0.3096	12.2871	0.7762	0.8253	1.4145	0.8363	1.0272	-2.0184	-0.3458	-0.3648	0.4095	-0.0981	-0.8604	12.6069	12.4762	12.5194	11.8307	12.2089	12.2046	12.3797	12.2649	12.0925
G99	0	0.5010	12.6178	1.6731	0.9265	-1.6080	-0.9715	-1.4223	1.1012	0.9773	0.9744	0.3057	0.1995	0.4437	11.6247	12.0178	11.7394	13.2978	13.2213	13.2195	12.8066	12.7410	12.8918
G100	2	0.1470	12.5957	0.2894	0.5793	0.3923	-0.0146	-0.8564	-1.9902	-0.4532	1.6988	0.7085	-0.2041	0.7189	12.6265	12.5946	12.5285	12.4396	12.5602	12.7289	12.6513	12.5797	12.6521
G101	0	0.5260	11.2820	2.5262	0.9458	-1.4819	-1.1392	-1.4627	1.0217	0.8402	1.0401	0.3317	0.2468	0.6034	9.7977	10.1410	9.8170	12.3054	12.1236	12.3238	11.6142	11.5292	11.8864
G102	3	0.5601	12.0922	0.2435	0.9595	1.4018	1.1213	1.4944	-1.0863	-0.0727	-0.6426	-0.7435	-0.3429	-1.1295	12.2222	12.1962	12.2308	11.9914	12.0854	12.0325	12.0232	12.0603	11.9874
G103	0	0.1534	8.7705	1.2669	0.5534	-0.5586	-0.6274	-0.7744	-0.3474	-0.8140	-0.9195	1.1429	0.9206	1.9779	8.5262	8.4961	8.4319	8.6186	8.4146	8.3684	9.2702	9.1730	9.6353
G104	3	0.4799	11.5429	1.1841	0.9269	1.5042	1.3426	0.9726	-1.7202	-0.2793	-0.1778	-0.4927	-0.4833	-0.6661	12.0952	12.0359	11.9000	10.9112	11.4403	11.4776	11.3620	11.3654	11.2983
G105	3	0.4542	12.5362	0.3866	0.9232	1.8524	1.1602	0.7828	-1.4305	-0.7600	-0.6578	0.0838	-0.4295	-0.6014	12.7544	12.6729	12.6284	12.3678	12.4467	12.4588	12.5461	12.4857	12.4654
G106	3	0.6033	7.5800	2.3698	0.9836	1.5863	1.2486	1.3709	-0.6232	-0.7246	-0.5218	-0.8169	-0.8978	-0.6215	9.0933	8.7712	8.8878	6.9855	6.8887	7.0822	6.8007	6.7235	6.9871
G107	3	0.5106	12.2745	0.8159	0.9547	1.7157	1.3574	0.9072	-1.3069	-0.7934	-0.7145	-0.3499	-0.1984	-0.6172	12.7376	12.6409	12.5194	11.9217	12.0603	12.0816	12.1800	12.2209	12.1079
G108	3	0.3732	7.4961	1.0433	0.7859	0.8638	1.4003	1.2639	0.2173	-0.7101	0.0432	-1.5938	-1.2423	-0.2423	7.7971	7.9840	7.9365	7.5718	7.2486	7.5111	6.9407	7.0632	7.4116
G109	3	0.4749	7.2484	2.0759	0.9189	1.0318	1.4960	1.3175	-1.6523	-0.5663	0.0020	-0.4122	-0.5833	-0.6332	7.9287	8.2348	8.1171	6.1589	6.8750	7.2497	6.9766	6.8638	6.8309
G110	3	0.5488	12.3641	0.5503	0.9346	1.6875	1.4187	0.8081	-0.3452	-1.0448	0.0733	-0.8676	-0.9678	-0.7623	12.7039	12.6498	12.5268	12.2945	12.1536	12.3788	12.1893	12.1691	12.2105
G111	0	0.4976	6.6800	3.0261	0.9041	-0.9131	-1.4928	-1.4196	0.8279	1.3586	-0.1989	0.4569	0.3829	0.9981	5.7110	5.0957	5.1734	7.5585	8.1218	6.4689	7.1649	7.0863	7.7392
G112	3	0.3139	8.4441	1.1640	0.8144	1.0814	1.0649	1.1765	-2.1233	-0.0569	-0.2664	0.2548	-0.4527	-0.6783	8.8256	8.8198	8.8591	7.6951	8.4240	8.3501	8.5340	8.2844	8.2048
G113	3	0.5701	14.2360	1.3054	0.9827	1.6024	1.3193	1.2127	-1.1103	-0.8627	-0.5672	-0.6741	-0.3105	-0.6095	15.0071	14.8709	14.8195	13.7017	13.8208	13.9630	13.9116	14.0866	13.9427
G114	0	0.2384	10.0215	0.4804	0.6753	-0.7773	-1.2441	-0.8241	-1.3228	0.4594	0.2291	1.3240	1.2763	0.8795	9.8804	9.7957	9.8719	9.7814	10.1048	10.0630	10.2618	10.2531	10.1811
